state,date,cases,deaths,all_hospital_beds,hospitalized_covid_confirmed_patients,hospitalized_covid_patients,hospitalized_suspected_covid_patients,icu_available_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients
California,2020-03-18,675.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-19,359.6666666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-20,223.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-21,266.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-22,265.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-23,222.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-24,580.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-25,472.25,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-26,795.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-27,878.75,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-28,640.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-29,480.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-30,1169.0,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-03-31,1223.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-01,1036.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-02,1521.75,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-03,1325.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-04,1430.8125,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-05,923.75,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-06,1530.75,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-07,1096.25,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-08,1353.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-09,1170.75,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-10,1194.625,84.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-11,1179.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-12,606.75,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-13,990.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-14,1086.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-15,1758.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-16,1353.5,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-17,1441.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-18,1370.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-19,656.75,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-20,2283.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-21,2135.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-22,1973.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-23,1885.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-24,1884.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-25,1230.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-26,1300.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-27,1568.25,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-28,1472.5,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-29,2417.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-04-30,1526.25,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-01,1755.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-02,1422.75,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-03,1414.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-04,1278.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-05,2608.1875,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-06,1807.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-07,1901.5,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-08,2050.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-09,2119.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-10,1260.75,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-11,1443.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-12,1759.0,88.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-13,2027.5,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-14,1773.25,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-15,1857.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-16,2052.75,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-17,1598.3125,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-18,1365.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-19,2262.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-20,2151.25,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-21,2249.25,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-22,2187.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-23,2080.5625,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-24,1848.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-25,2175.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-26,2255.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-27,2718.25,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-28,2194.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-29,2992.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-30,3714.25,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-05-31,2425.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-01,2308.25,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-02,2377.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-03,2121.5,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-04,3094.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-05,3115.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-06,2826.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-07,2507.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-08,2172.25,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-09,2706.25,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-10,3098.5625,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-11,2744.390625,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-12,3675.9375,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-13,3213.671875,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-14,2624.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-15,2276.25,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-16,3458.75,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-17,4084.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-18,4320.1875,71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-19,3893.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-20,4515.0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-21,4307.75,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-22,5178.75,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-23,7152.75,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-24,5352.125,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-25,5271.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-26,6209.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-27,5120.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-28,7083.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-29,9482.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-06-30,7407.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-01,6410.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-02,5688.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-03,9155.25,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-04,8599.3125,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-05,5912.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-06,6109.5,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-07,11697.5,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-08,7033.375,150.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-09,7800.46875,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-10,8048.25,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-11,8463.8671875,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-12,8358.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-13,7355.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-14,11135.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-15,8544.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-16,9998.125,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-17,9199.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-18,9341.53125,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-19,6846.0,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-20,9482.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-21,12818.5,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-22,12040.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-23,9718.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-24,10066.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-25,8273.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-26,6891.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-27,6002.875,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-28,8757.96875,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-29,10200.7109375,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-30,8086.0,124.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-07-31,6556.177734375,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-01,9034.04443359375,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-02,5778.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-03,4590.25,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-04,5298.25,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-05,5304.875,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-06,8455.4375,142.0,1314.0,81.0,114.0,33.0,37.0,23.0,8.0
California,2020-08-07,7546.25,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-08,8373.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-09,7798.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-10,12707.125,121.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-11,11658.25,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-12,7123.9375,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-13,8094.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-14,12614.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-15,7883.5625,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-16,6469.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-17,4838.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-18,6164.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-19,5924.75,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-20,5587.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-21,6561.5,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-22,6777.0,148.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-23,5205.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-24,4487.75,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-25,6011.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-26,4430.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-27,5331.0,141.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-28,4981.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-29,6108.5,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-30,4223.5625,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-08-31,3948.140625,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-01,4260.75,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-02,5129.25,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-03,5107.25,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-04,4963.75,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-05,4905.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-06,3107.6875,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-07,2800.234375,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-08,2175.91796875,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2020-09-09,3342.5,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
